Row,Alanine and aspartate metabolism,Aminobenzoate degradation,Aminophosphonate metabolism,Aminosugar metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Atrazine degradation,Benzoate degradation,Beta-alanine metabolism,Bile acid metabolism,Bile acid synthesis,Biosynthesis of siderophore group nonribosomal peptides,Biotin metabolism,Butanoate metabolism,C5-branched dibasic acid metabolism,Caffeine metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Cell wall biosynthesis,Chloroalkane and chloroalkene degradation,Cholesterol metabolism,Chondroitin sulfate degradation,Citric acid cycle,CoA catabolism,CoA synthesis,Cyanoamino acid metabolism,D-Arginine and D-ornithine metabolism,Drug metabolism,Exchange/demand reaction,Fatty acid oxidation,Fatty acid synthesis,Folate metabolism,Fructose and mannose metabolism,Galactose metabolism,Glutamate metabolism,Glutathione metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism","Glycine, serine, alanine, and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Heme synthesis,Heparan sulfate degradation,Histidine metabolism,Histone phosphorylation,Hyaluronan metabolism,Inositol phosphate metabolism,Isoquinoline alkaloid biosynthesis,Lipopolysaccharide biosynthesis,Lysine metabolism,Methane metabolism,Methionine and cysteine metabolism,Miscellaneous,N-glycan degradation,N-glycan metabolism,NAD metabolism,"Neomycin, kanamycin and gentamicin biosynthesis",Nitrogen metabolism,Nucleotide interconversion,Nucleotide salvage pathway,Nucleotide sugar metabolism,O-glycan degradation,Others,Oxalate metabolism,Oxidative phosphorylation,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptide metabolism,Phenylalanine metabolism,Phenylpropanoid biosynthesis,Phosphonate and phosphinate metabolism,Plant polysaccharide degradation,Polycyclic aromatic hydrocarbon degradation,Porphyrin and chlorophyll metabolism,Primary amine metabolism,Propanoate metabolism,Purine catabolism,Purine synthesis,Pyrimidine catabolism,Pyrimidine synthesis,Pyruvate metabolism,R group synthesis,ROS detoxification,Respiration,Retinol metabolism,Sphingolipid metabolism,Squalene and cholesterol synthesis,Starch and sucrose metabolism,Steroid metabolism,Stickland reaction,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Tetrahydrobiopterin metabolism,Thiamine metabolism,Toluene degradation,"Transport, extracellular","Transport, periplasmatic","Tropane, piperidine and pyridine alkaloid biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Unassigned,Urea cycle,Valerate metabolism,"Valine, leucine, and isoleucine metabolism",Vitamin B12 metabolism,Vitamin B2 metabolism,Vitamin B6 metabolism,Vitamin C metabolism,Wood-Ljungdahl Pathway,Xenobiotics metabolism,Zeatin biosynthesis,tRNA Charging
Lactobacillus_gasseri_SV_16A_US.mat,6,0,0,4,8,2,0,7,3,2,2,1,0,6,1,0,1,0,4,0,3,0,2,1,1,0,0,0,58,4,47,5,14,5,1,2,61,0,6,0,2,1,0,1,5,0,0,0,9,11,0,2,2,0,0,3,0,2,6,0,0,0,1,2,0,10,11,0,2,0,0,3,0,0,0,3,3,4,2,1,4,0,0,1,1,0,0,6,1,0,1,2,1,1,1,0,60,33,0,3,1,4,0,0,0,9,10,7,6,0,1,1,0,0
Lactobacillus_gastricus_PS3.mat,3,3,0,4,13,2,0,5,2,2,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,74,4,36,8,11,3,0,2,52,0,6,3,3,4,0,2,2,2,2,0,9,10,1,5,1,1,0,1,0,1,9,1,1,0,1,0,0,11,4,0,5,0,0,3,0,0,0,4,3,0,4,0,1,0,0,6,0,0,0,4,0,0,4,3,5,1,3,2,73,26,0,4,2,10,0,0,0,16,3,2,4,0,1,1,1,1
Lactobacillus_helveticus_DPC_4571.mat,4,0,0,2,10,1,0,5,1,3,0,0,1,2,0,0,0,0,2,0,0,2,1,1,2,0,0,1,45,4,23,3,10,3,0,0,21,0,5,1,1,1,0,1,3,0,0,0,0,3,0,5,1,0,0,2,0,0,7,1,1,0,0,0,0,6,6,0,3,0,0,2,0,0,0,2,6,0,0,0,0,0,0,5,0,0,0,5,0,0,3,2,0,0,1,2,52,37,0,2,2,2,0,2,0,8,12,0,3,0,0,1,0,0
Lactobacillus_helveticus_DSM_20075.mat,3,0,0,3,10,1,0,5,1,2,0,0,1,2,0,0,0,0,2,0,0,0,4,1,2,0,0,2,35,5,25,5,7,0,1,1,28,0,5,0,2,4,0,1,2,0,0,0,0,3,0,4,1,0,0,3,0,1,8,2,1,0,1,0,0,7,6,0,5,0,0,2,0,0,0,2,3,1,3,0,0,0,0,3,0,0,0,4,0,0,2,2,0,0,2,2,43,29,0,2,2,0,0,1,0,8,16,0,6,0,0,1,0,1
Lactobacillus_helveticus_H10.mat,5,1,0,4,3,0,0,8,5,3,0,1,0,6,0,0,0,0,2,0,3,0,4,2,1,0,0,1,54,8,39,3,8,2,3,2,26,0,13,1,2,1,0,1,4,0,0,0,9,9,0,6,1,0,0,5,0,1,6,0,1,0,1,2,0,9,10,0,9,0,0,1,0,0,0,1,4,1,1,0,0,0,0,3,1,0,0,5,1,0,3,2,1,0,1,0,61,33,0,4,0,0,0,2,0,3,11,0,4,0,0,2,0,0
Lactobacillus_helveticus_R0052.mat,4,0,0,4,6,1,0,7,5,2,0,1,0,3,0,0,0,0,2,0,3,0,3,2,3,0,0,0,61,5,36,3,10,5,3,1,27,0,9,0,1,1,0,10,5,0,0,0,10,9,0,4,1,0,0,7,0,1,7,0,0,0,2,1,0,6,13,0,2,0,0,1,0,0,0,1,4,1,1,0,1,0,0,4,1,0,0,5,1,0,2,2,1,0,1,0,62,31,0,3,3,1,0,2,0,8,10,0,4,0,0,1,0,0
Lactobacillus_hilgardii_ATCC_8290.mat,4,4,0,1,13,0,0,8,2,3,1,0,1,3,0,0,0,0,4,0,0,0,4,1,2,0,0,2,59,8,22,5,6,2,1,1,62,0,3,2,3,6,0,0,4,0,2,0,0,2,0,7,3,0,0,5,0,1,8,2,1,0,1,0,0,8,2,0,2,0,1,3,0,0,0,5,1,1,1,0,1,0,0,10,0,0,0,3,0,0,2,3,7,0,2,2,57,35,0,4,1,14,0,0,0,13,19,0,5,0,1,1,1,3
Lactobacillus_iners_7_1_47FAA.mat,2,2,0,3,6,1,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,2,1,0,0,0,0,46,5,89,6,6,6,1,0,61,0,2,7,3,6,0,0,5,0,0,0,10,4,0,3,1,1,1,0,0,1,19,0,1,0,0,2,0,4,6,0,4,0,0,2,0,0,0,2,5,3,2,1,1,0,0,3,0,0,0,5,0,0,5,2,1,0,5,0,59,11,0,2,0,1,0,3,0,12,1,0,5,0,0,0,0,1
Lactobacillus_iners_AB_1.mat,5,1,0,3,8,1,0,2,0,4,0,1,0,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,45,7,91,4,12,6,3,0,37,0,8,4,4,6,0,4,3,0,0,0,9,4,0,6,2,0,0,3,0,3,9,1,0,0,0,0,0,5,8,0,6,0,0,1,0,0,0,1,11,8,2,0,1,0,0,0,1,0,0,5,1,0,0,2,2,0,5,0,49,16,0,1,1,1,0,2,0,6,20,6,4,0,1,1,0,1
Lactobacillus_iners_ATCC_55195.mat,5,1,0,4,8,1,0,2,0,4,0,1,0,2,0,0,1,0,2,0,3,0,4,1,0,0,0,1,60,5,45,4,11,7,3,0,32,0,5,3,3,6,0,2,4,0,0,0,9,4,0,4,2,0,0,3,0,3,16,0,0,0,0,0,0,9,7,0,6,0,0,2,0,0,0,1,6,8,2,0,2,0,0,3,1,0,0,5,1,0,4,3,2,0,5,0,60,27,0,2,2,2,0,4,0,3,13,7,4,0,1,1,0,1
Lactobacillus_iners_DSM_13335.mat,3,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,1,1,0,0,1,49,6,48,6,10,6,1,1,30,0,7,4,2,7,0,2,2,0,0,0,10,1,0,5,2,0,0,1,0,1,9,2,1,0,0,0,0,7,6,0,3,0,0,2,0,0,0,2,6,8,1,0,3,0,0,4,0,0,0,6,0,0,2,2,3,0,5,0,53,34,0,2,0,1,0,3,0,7,13,6,5,0,0,0,0,1
