Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
SW,6000,2650,3.0902439,10
FC,6000,2750,72.8495734,3822
SPcc_SPc,6000,2750,0.5435637,12
SP,6000,2750,0.451771,9
SW,6000,2750,3.0991311,11
FC,6000,2850,72.4824586,3834
SPcc_SPc,6000,2850,0.4987526,12
SP,6000,2850,0.4541657,9
SW,6000,2850,3.2252521,11
FC,6000,2950,72.9444329,3832
SPcc_SPc,6000,2950,0.5105897,13
SP,6000,2950,0.4383985,9
SW,6000,2950,3.0646639,12
FC,6000,3050,73.3221082,3832
SPcc_SPc,6000,3050,0.5566515,16
SP,6000,3050,0.4483775,9
SW,6000,3050,3.0832445,12
FC,6000,3150,72.9521805,3838
SPcc_SPc,6000,3150,0.5112587,13
SP,6000,3150,0.4452518,9
SW,6000,3150,3.0857911,11
FC,6000,3250,73.322838,3832
SPcc_SPc,6000,3250,0.5392428,13
SP,6000,3250,0.4874481,9
SW,6000,3250,3.0802536,14
FC,6000,3350,73.1728296,3836
SPcc_SPc,6000,3350,0.5041561,12
SP,6000,3350,0.4457742,9
SW,6000,3350,3.1229226,14
FC,6000,3450,73.1510873,3840
SPcc_SPc,6000,3450,0.5146353,12
SP,6000,3450,0.4505505,9
SW,6000,3450,3.0362966,13
FC,6000,3550,72.8721463,3834
SPcc_SPc,6000,3550,0.4909276,12
SP,6000,3550,0.4415786,9
SW,6000,3550,3.074377,11
FC,6000,3650,73.2302494,3830
SPcc_SPc,6000,3650,0.5050817,12
SP,6000,3650,0.4559041,9
SW,6000,3650,3.0291059,10
FC,6000,3750,73.1588124,3832
SPcc_SPc,6000,3750,0.5123693,13
SP,6000,3750,0.4391576,9
SW,6000,3750,3.0622639,13
FC,6000,3850,73.0568643,3840
SPcc_SPc,6000,3850,0.5101704,12
SP,6000,3850,0.4416989,9
SW,6000,3850,3.031558,11
FC,6000,3950,72.9417567,3840
SPcc_SPc,6000,3950,0.4881761,12
SP,6000,3950,0.4472526,9
SW,6000,3950,3.1144708,15
FC,6000,4050,72.614542,3828
SPcc_SPc,6000,4050,0.5074084,13
SP,6000,4050,0.4551564,9
SW,6000,4050,3.0442388,10
FC,6000,4150,74.2139383,3834
SPcc_SPc,6000,4150,0.5392501,14
SP,6000,4150,0.4484412,9
SW,6000,4150,3.1943129,11
FC,6000,4250,73.4157711,3830
SPcc_SPc,6000,4250,0.4941172,12
SP,6000,4250,0.4570439,9
SW,6000,4250,3.0844616,13
FC,6000,4350,73.5070916,3832
SPcc_SPc,6000,4350,0.5246739,15
SP,6000,4350,0.4382784,9
SW,6000,4350,3.018181,9
FC,6000,4450,73.4526357,3838
SPcc_SPc,6000,4450,0.5080825,13
SP,6000,4450,0.4640193,9
SW,6000,4450,3.2284647,10
FC,6000,4550,72.9820675,3828
SPcc_SPc,6000,4550,0.501418,12
SP,6000,4550,0.4597813,9
SW,6000,4550,3.0665478,11
FC,6000,4650,73.4349888,3834
SPcc_SPc,6000,4650,0.5681224,17
SP,6000,4650,0.4524768,9
SW,6000,4650,2.9888539,9
FC,6000,4750,73.0288615,3822
SPcc_SPc,6000,4750,0.5066033,12
SP,6000,4750,0.4397975,9
SW,6000,4750,3.0622177,12
FC,6000,4850,73.3735888,3824
SPcc_SPc,6000,4850,0.4971083,12
SP,6000,4850,0.4561806,9
SW,6000,4850,3.0932088,13
