Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Acinetobacter_calcoaceticus_PHEA_2,421,83
Acinetobacter_calcoaceticus_RUH2202,450,86
Acinetobacter_calcoaceticus_TG19585,476,89
Acinetobacter_calcoaceticus_TG19588,450,94
Acinetobacter_calcoaceticus_TG19593,414,82
Acinetobacter_calcoaceticus_subsp_anitratus_XM1570,468,91
Acinetobacter_guillouiae_CIP_63_46,287,76
Acinetobacter_guillouiae_KCTC_23200,287,77
Acinetobacter_guillouiae_MSP4_18,291,79
Acinetobacter_guillouiae_NIPH_991,307,78
Acinetobacter_haemolyticus_ATCC_19194,470,93
Acinetobacter_haemolyticus_CIP_64_3,469,95
Acinetobacter_haemolyticus_NIPH_261,424,85
Acinetobacter_haemolyticus_TG19599,471,102
Acinetobacter_haemolyticus_TG21157,475,94
Acinetobacter_johnsonii_ANC_3681,371,82
Acinetobacter_johnsonii_CIP_64_6,406,87
Acinetobacter_johnsonii_SH046,360,86
Acinetobacter_junii_CIP_107470,465,100
Acinetobacter_junii_CIP_64_5,437,87
Acinetobacter_junii_NIPH_182,426,91
Acinetobacter_junii_SH205,282,34
Acinetobacter_lwoffii_CIP_70_31,444,77
Acinetobacter_lwoffii_NCTC_5866,459,85
Acinetobacter_lwoffii_NIPH_478,453,83
Acinetobacter_lwoffii_NIPH_715,455,85
Acinetobacter_lwoffii_SH145,462,87
Acinetobacter_lwoffii_TG19636,456,87
Acinetobacter_lwoffii_WJ10621,352,72
Acinetobacter_nosocomialis_NIPH_2119,375,83
Acinetobacter_nosocomialis_WC_487,357,81
Acinetobacter_pittii_ANC_3678,465,83
Acinetobacter_pittii_ANC_4050,412,88
Acinetobacter_pittii_ANC_4052,362,75
Acinetobacter_pittii_AP_882,380,86
Acinetobacter_pittii_CIP_70_29,467,89
Acinetobacter_pittii_D499,478,91
Acinetobacter_pittii_IEC338SC,406,81
Acinetobacter_pittii_TG6411,455,84
Acinetobacter_pittii_WC_136,386,78
Acinetobacter_radioresistens_DSM_6976,454,90
Acinetobacter_radioresistens_NIPH_2130,442,101
Acinetobacter_radioresistens_SH164,469,93
Acinetobacter_radioresistens_SK82,476,90
Acinetobacter_radioresistens_TG02010,429,97
