Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Gemmata_obscuriglobus_UQM_2246,416,119
Gemmatimonas_aurantiaca_T_27,316,88
Gemmiger_formicilis_ATCC_27749,455,91
Geobacillus_stearothermophilus_ATCC_7953,402,91
Geobacillus_vulcani_PSS1,384,96
Gordonia_rubripertincta_NBRC_101908,442,105
Gordonia_terrae_C_6,442,94
Gordonia_terrae_NBRC_100016,424,86
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,412,92
Gorillibacterium_timonense_CSUR_P2011,561,158
Gottschalkia_acidurici_9a,302,75
Gottschalkia_purinilyticum_DSM_1384,295,78
Gracilibacillus_massiliensis_DSM_29726,516,126
Gracilibacillus_timonensis_CSUR_P2481,525,149
Gracilibacter_sp_BRH_c7a,428,110
Granulicatella_adiacens_ATCC_49175,422,70
Granulicatella_elegans_ATCC_700633,411,59
Grimontia_hollisae_CIP_101886,448,109
Guyana_massiliensis_LF_3,346,77
Haemophilus_aegyptius_ATCC_11116,321,76
Haemophilus_haemolyticus_HK386,433,73
Haemophilus_haemolyticus_M19501,408,74
Haemophilus_haemolyticus_M21127,424,83
Haemophilus_haemolyticus_M21621,329,69
Haemophilus_haemolyticus_M21639,446,82
Haemophilus_influenzae_10810,368,70
Haemophilus_influenzae_477,306,71
Haemophilus_influenzae_6P18H1,347,70
Haemophilus_influenzae_7P49H1,291,57
Haemophilus_influenzae_86_028NP,345,72
Haemophilus_influenzae_F3031,296,57
Haemophilus_influenzae_F3047,331,68
Haemophilus_influenzae_Hi375,311,67
Haemophilus_influenzae_NT127,310,62
Haemophilus_influenzae_PittAA,322,77
Haemophilus_influenzae_PittEE,300,63
Haemophilus_influenzae_PittGG,327,72
Haemophilus_influenzae_PittHH,306,68
Haemophilus_influenzae_PittII,350,71
Haemophilus_influenzae_R2846,399,58
Haemophilus_influenzae_R2866,340,68
Haemophilus_influenzae_RdAW,339,64
Haemophilus_influenzae_Rd_KW20,354,71
Haemophilus_parahaemolyticus_CCUG_3716_3716T,345,76
Haemophilus_parahaemolyticus_G321,375,90
Haemophilus_parahaemolyticus_HK385,333,73
Haemophilus_parainfluenzae_215035_2_ISO5,301,68
Haemophilus_parainfluenzae_ATCC_33392,453,76
Haemophilus_parainfluenzae_HK2019,438,66
Haemophilus_parainfluenzae_HK262,427,70
Haemophilus_parainfluenzae_T3T1,374,71
Haemophilus_paraphrohaemolyticus_CCUG_3718,359,73
Haemophilus_paraphrohaemolyticus_HK411,347,71
Haemophilus_pittmaniae_HK_85,313,68
Haemophilus_pittmaniae_NCTC13334,279,69
Haemophilus_sputorum_CCUG_13788,369,64
Haemophilus_sputorum_HK_2154,419,71
Hafnia_alvei_ATCC_51873,400,103
Hafnia_alvei_BIDMC_31,323,52
Hafnia_alvei_FB1,358,100
Hafnia_alvei_HUMV_5920,363,98
Hafnia_paralvei_FDAARGOS_158,350,94
Halococcus_morrhuae_DSM1307,502,94
Halomonas_campaniensis_LS21,358,94
Helicobacter_apodemus_SCJK1,371,74
Helicobacter_bilis_ATCC_43879,350,51
Helicobacter_bilis_WiWa,460,67
Helicobacter_canadensis_MIT_98_5491,253,52
Helicobacter_canis_NCTC_12740,330,61
Helicobacter_cinaedi_CCUG_18818,249,22
Helicobacter_fennelliae_MRY12_0050,240,59
Helicobacter_fennelliae_NCTC13102,253,59
Helicobacter_hepaticus_ATCC_51449,233,61
Helicobacter_macacae_MIT_99_5501,354,114
Helicobacter_pullorum_MIT_98_5489,319,50
Helicobacter_pylori_2017,404,52
Helicobacter_pylori_2018,380,63
Helicobacter_pylori_26695_1MET,277,52
Helicobacter_pylori_26695,326,45
Helicobacter_pylori_35A,394,56
Helicobacter_pylori_51,394,66
Helicobacter_pylori_52,457,68
Helicobacter_pylori_83,392,51
Helicobacter_pylori_8A3,418,50
Helicobacter_pylori_908,455,59
Helicobacter_pylori_98_10,384,49
Helicobacter_pylori_A45,385,62
Helicobacter_pylori_Aklavik117,375,57
Helicobacter_pylori_Aklavik86,338,54
Helicobacter_pylori_B128,295,55
Helicobacter_pylori_B38,442,69
Helicobacter_pylori_B45,271,48
Helicobacter_pylori_B8,431,56
Helicobacter_pylori_BCS100H1,405,48
Helicobacter_pylori_BM013A,251,53
Helicobacter_pylori_CCHI_33,408,56
Helicobacter_pylori_CPY1124,375,55
Helicobacter_pylori_CPY1313,413,55
Helicobacter_pylori_CPY1662,409,54
Helicobacter_pylori_CPY1962,409,53
Helicobacter_pylori_CPY3281,371,63
Helicobacter_pylori_CPY6081,425,62
Helicobacter_pylori_CPY6261,377,56
Helicobacter_pylori_CPY6271,379,63
Helicobacter_pylori_CPY6311,436,60
Helicobacter_pylori_Cuz20,376,54
Helicobacter_pylori_ELS37,369,63
Helicobacter_pylori_F16,401,54
Helicobacter_pylori_F30,417,57
Helicobacter_pylori_F32,376,63
Helicobacter_pylori_F57,401,58
Helicobacter_pylori_G27,436,63
Helicobacter_pylori_GAM100Ai,413,48
Helicobacter_pylori_GAM101Biv,417,50
Helicobacter_pylori_GAM103Bi,382,59
Helicobacter_pylori_GAM105Ai,429,52
Helicobacter_pylori_GAM114Ai,424,48
Helicobacter_pylori_GAM115Ai,357,59
Helicobacter_pylori_GAM118Bi,387,56
Helicobacter_pylori_GAM119Bi,368,58
Helicobacter_pylori_GAM120Ai,435,52
Helicobacter_pylori_GAM121Aii,418,47
Helicobacter_pylori_GAM201Ai,364,47
Helicobacter_pylori_GAM210Bi,368,62
Helicobacter_pylori_GAM231Ai,379,56
Helicobacter_pylori_GAM239Bi,401,50
Helicobacter_pylori_GAM244Ai,399,51
Helicobacter_pylori_GAM245Ai,416,59
Helicobacter_pylori_GAM246Ai,393,58
Helicobacter_pylori_GAM249T,360,48
Helicobacter_pylori_GAM250AFi,378,60
Helicobacter_pylori_GAM250T,424,52
Helicobacter_pylori_GAM252Bi,380,50
Helicobacter_pylori_GAM252T,366,54
Helicobacter_pylori_GAM254Ai,409,52
Helicobacter_pylori_GAM260ASi,379,48
Helicobacter_pylori_GAM260BSi,423,49
Helicobacter_pylori_GAM260Bi,427,51
Helicobacter_pylori_GAM263BFi,370,59
Helicobacter_pylori_GAM264Ai,364,53
Helicobacter_pylori_GAM265BSii,390,54
Helicobacter_pylori_GAM270ASi,422,56
Helicobacter_pylori_GAM42Ai,371,51
Helicobacter_pylori_GAM80Ai,376,54
Helicobacter_pylori_GAM83Bi,401,51
Helicobacter_pylori_GAM83T,359,47
Helicobacter_pylori_GAM96Ai,413,48
Helicobacter_pylori_GAMchJs106B,404,46
Helicobacter_pylori_GAMchJs114i,381,52
Helicobacter_pylori_GAMchJs117Ai,376,55
Helicobacter_pylori_GAMchJs124i,427,54
Helicobacter_pylori_GAMchJs136i,413,52
Helicobacter_pylori_Gambia94_24,435,50
Helicobacter_pylori_HLJHP193,441,69
Helicobacter_pylori_HLJHP253,385,62
Helicobacter_pylori_HLJHP256,429,55
Helicobacter_pylori_HLJHP271,382,56
Helicobacter_pylori_HP116Bi,366,48
Helicobacter_pylori_HP250AFiV,352,47
Helicobacter_pylori_HP250AFii,413,51
Helicobacter_pylori_HP250AFiii,382,50
Helicobacter_pylori_HP250ASi,384,54
Helicobacter_pylori_HP250ASii,372,51
Helicobacter_pylori_HP250BFiV,380,50
Helicobacter_pylori_HP250BFii,331,56
Helicobacter_pylori_HP250BFiii,441,49
Helicobacter_pylori_HP250BSi,365,52
Helicobacter_pylori_HP260AFi,371,58
Helicobacter_pylori_HP260AFii,440,52
Helicobacter_pylori_HP260ASii,437,55
Helicobacter_pylori_HP260BFii,416,49
Helicobacter_pylori_HP260Bi,406,58
Helicobacter_pylori_HPAG1,468,68
Helicobacter_pylori_HUP_B14,363,58
Helicobacter_pylori_Hp238,262,59
Helicobacter_pylori_Hp_A_11,441,59
Helicobacter_pylori_Hp_A_14,418,56
Helicobacter_pylori_Hp_A_16,443,58
Helicobacter_pylori_Hp_A_17,445,58
Helicobacter_pylori_Hp_A_20,431,51
Helicobacter_pylori_Hp_A_26,455,64
Helicobacter_pylori_Hp_A_27,392,60
Helicobacter_pylori_Hp_A_4,377,58
Helicobacter_pylori_Hp_A_5,381,66
Helicobacter_pylori_Hp_A_6,351,54
Helicobacter_pylori_Hp_A_8,436,54
Helicobacter_pylori_Hp_A_9,406,80
Helicobacter_pylori_Hp_H_10,416,65
Helicobacter_pylori_Hp_H_11,381,65
Helicobacter_pylori_Hp_H_16,379,55
Helicobacter_pylori_Hp_H_18,396,67
Helicobacter_pylori_Hp_H_19,448,46
Helicobacter_pylori_Hp_H_1,372,57
Helicobacter_pylori_Hp_H_21,422,55
Helicobacter_pylori_Hp_H_23,371,53
Helicobacter_pylori_Hp_H_24,373,58
Helicobacter_pylori_Hp_H_24b,368,56
Helicobacter_pylori_Hp_H_24c,421,64
Helicobacter_pylori_Hp_H_27,384,66
Helicobacter_pylori_Hp_H_28,422,54
Helicobacter_pylori_Hp_H_29,461,56
Helicobacter_pylori_Hp_H_30,450,71
Helicobacter_pylori_Hp_H_34,422,57
Helicobacter_pylori_Hp_H_36,378,58
Helicobacter_pylori_Hp_H_3,372,55
Helicobacter_pylori_Hp_H_41,442,60
Helicobacter_pylori_Hp_H_42,442,56
Helicobacter_pylori_Hp_H_43,397,61
Helicobacter_pylori_Hp_H_44,405,63
Helicobacter_pylori_Hp_H_45,460,60
Helicobacter_pylori_Hp_H_4,381,66
Helicobacter_pylori_Hp_H_5b,371,55
Helicobacter_pylori_Hp_H_6,436,57
Helicobacter_pylori_Hp_H_9,370,56
Helicobacter_pylori_Hp_M1,434,52
Helicobacter_pylori_Hp_M2,417,51
Helicobacter_pylori_Hp_M3,450,59
Helicobacter_pylori_Hp_M4,427,50
Helicobacter_pylori_Hp_M5,369,62
Helicobacter_pylori_Hp_M6,384,55
Helicobacter_pylori_Hp_M9,426,51
Helicobacter_pylori_Hp_P_11,433,47
Helicobacter_pylori_Hp_P_11b,362,53
Helicobacter_pylori_Hp_P_13,441,56
Helicobacter_pylori_Hp_P_13b,423,61
Helicobacter_pylori_Hp_P_15,373,60
Helicobacter_pylori_Hp_P_15b,379,54
Helicobacter_pylori_Hp_P_16,419,59
Helicobacter_pylori_Hp_P_1,397,57
Helicobacter_pylori_Hp_P_1b,432,53
Helicobacter_pylori_Hp_P_23,374,58
Helicobacter_pylori_Hp_P_25,393,69
Helicobacter_pylori_Hp_P_25c,420,55
Helicobacter_pylori_Hp_P_25d,363,52
Helicobacter_pylori_Hp_P_26,438,56
Helicobacter_pylori_Hp_P_28b,438,55
Helicobacter_pylori_Hp_P_2,442,53
Helicobacter_pylori_Hp_P_2b,443,52
Helicobacter_pylori_Hp_P_30,377,61
Helicobacter_pylori_Hp_P_3,374,64
Helicobacter_pylori_Hp_P_3b,397,55
Helicobacter_pylori_Hp_P_41,383,65
Helicobacter_pylori_Hp_P_4,442,55
Helicobacter_pylori_Hp_P_4c,390,57
Helicobacter_pylori_Hp_P_4d,388,56
Helicobacter_pylori_Hp_P_62,437,64
Helicobacter_pylori_Hp_P_74,416,60
Helicobacter_pylori_Hp_P_8,368,65
Helicobacter_pylori_Hp_P_8b,412,51
Helicobacter_pylori_India7,451,58
Helicobacter_pylori_J99,464,70
Helicobacter_pylori_Lithuania75,392,66
Helicobacter_pylori_MALT,289,60
Helicobacter_pylori_N6,421,60
Helicobacter_pylori_NAK7,392,55
Helicobacter_pylori_NQ1671,402,67
Helicobacter_pylori_NQ1707,411,76
Helicobacter_pylori_NQ1712,435,49
Helicobacter_pylori_NQ315,438,52
Helicobacter_pylori_NQ352,397,61
Helicobacter_pylori_NQ367,434,58
Helicobacter_pylori_NQ392,427,74
Helicobacter_pylori_NQ4044,364,62
Helicobacter_pylori_NQ4053,422,61
Helicobacter_pylori_NQ4060,413,69
Helicobacter_pylori_NQ4076,411,62
Helicobacter_pylori_NQ4099,417,57
Helicobacter_pylori_NQ4110,412,67
Helicobacter_pylori_NQ4161,448,64
Helicobacter_pylori_NQ4191,397,55
Helicobacter_pylori_NQ4200,405,54
Helicobacter_pylori_NQ4216,361,61
Helicobacter_pylori_NQ4228,429,64
Helicobacter_pylori_OK113,377,63
Helicobacter_pylori_OK310,375,67
Helicobacter_pylori_P12,443,73
Helicobacter_pylori_PeCan18,382,59
Helicobacter_pylori_PeCan4,428,59
Helicobacter_pylori_Puno120,414,65
Helicobacter_pylori_Puno135,370,60
Helicobacter_pylori_R036d,415,55
Helicobacter_pylori_R037c,414,57
Helicobacter_pylori_R038b,372,62
Helicobacter_pylori_R046Wa,392,58
Helicobacter_pylori_R055a,410,59
Helicobacter_pylori_R056a,417,58
Helicobacter_pylori_R32b,377,64
Helicobacter_pylori_Rif1,405,66
Helicobacter_pylori_Rif2,403,64
Helicobacter_pylori_SJM180,394,52
Helicobacter_pylori_SNT49,427,53
Helicobacter_pylori_Sat464,385,60
Helicobacter_pylori_Shi112,381,56
Helicobacter_pylori_Shi169,446,74
Helicobacter_pylori_Shi417,424,56
Helicobacter_pylori_Shi470,393,67
Helicobacter_pylori_SouthAfrica7,378,59
Helicobacter_pylori_UM007,382,57
Helicobacter_pylori_UM018,445,60
Helicobacter_pylori_UM034,396,52
Helicobacter_pylori_UM037,412,56
Helicobacter_pylori_UM045,377,54
Helicobacter_pylori_UM054,434,62
Helicobacter_pylori_UM066,408,63
Helicobacter_pylori_UM299,374,54
Helicobacter_pylori_XZ274,381,54
Helicobacter_pylori_v225d,436,54
Helicobacter_rodentium_ATCC_700285,280,56
Helicobacter_trogontum_50960_7,279,79
Helicobacter_typhlonius_ATCC_BAA_367,239,57
Helicobacter_winghamensis_ATCC_BAA_430,271,56
Herbaspirillum_huttiense_NFYY_53159,387,93
Herbaspirillum_huttiense_subsp_putei_IAM_15032,426,96
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,474,108
Holdemania_massiliensis_AP2,430,84
Hydrotalea_flava_isolate_2,334,49
Intestinimonas_butyriciproducens_AF211,356,104
Intestinimonas_butyriciproducens_SRB_521_5_I,392,106
Intestinimonas_massiliensis_DSM_100417,431,125
Jeddahella_massiliensis_OL_1,385,73
Johnsonella_ignava_ATCC_51276,439,108
Jonquetella_anthropi_DSM_22815,401,52
Jonquetella_anthropi_E3_33_E1,379,63
Kallipyga_gabonensis_DSM_100575,478,77
Kallipyga_massiliensis_ph2,474,88
Kandleria_vitulina_DSM_20405,419,76
Kingella_denitrificans_ATCC_33394,308,51
Kingella_denitrificans_isolate_GC77,315,54
Kingella_oralis_ATCC_51147,460,76
Klebsiella_aerogenes_CAV1320,350,90
Klebsiella_aerogenes_G7,393,92
Klebsiella_michiganensis_10_5242,358,108
Klebsiella_michiganensis_10_5250,358,111
Klebsiella_michiganensis_FDAARGOS_66,349,110
Klebsiella_michiganensis_M1,411,96
Klebsiella_michiganensis_MGH87,367,109
Klebsiella_oxytoca_10_5243,355,93
Klebsiella_oxytoca_10_5245,355,103
Klebsiella_oxytoca_10_5248,364,106
Klebsiella_oxytoca_11492_1,353,98
Klebsiella_oxytoca_CAV1099,357,114
Klebsiella_oxytoca_CAV1335,402,108
Klebsiella_oxytoca_CAV1374,345,106
Klebsiella_oxytoca_CHS143,394,108
Klebsiella_oxytoca_E718,353,108
Klebsiella_oxytoca_ICU1_2b,364,108
Klebsiella_oxytoca_JKo3,366,108
Klebsiella_oxytoca_KCTC_1686,419,105
Klebsiella_oxytoca_MGH88,346,107
Klebsiella_pneumoniae_1162281,438,88
Klebsiella_pneumoniae_1191100241,449,102
Klebsiella_pneumoniae_342,480,97
Klebsiella_pneumoniae_361_1301,409,90
Klebsiella_pneumoniae_500_1420,401,90
Klebsiella_pneumoniae_540_1460,419,88
Klebsiella_pneumoniae_646_1568,424,88
Klebsiella_pneumoniae_ATCC_25955,404,89
Klebsiella_pneumoniae_ATCC_BAA_1705,407,95
Klebsiella_pneumoniae_ATCC_BAA_2146,438,90
Klebsiella_pneumoniae_CHS153,340,85
Klebsiella_pneumoniae_CHS222,332,89
Klebsiella_pneumoniae_DMC0526,410,90
Klebsiella_pneumoniae_G5_2,432,92
Klebsiella_pneumoniae_JH1,415,88
Klebsiella_pneumoniae_KCTC_2242,429,88
Klebsiella_pneumoniae_KP_11,411,89
Klebsiella_pneumoniae_NTUH_K2044,427,89
Klebsiella_pneumoniae_PR04,414,88
Klebsiella_pneumoniae_UHKPC01,399,87
Klebsiella_pneumoniae_UHKPC04,403,89
Klebsiella_pneumoniae_UHKPC05,423,93
Klebsiella_pneumoniae_UHKPC09,408,94
Klebsiella_pneumoniae_UHKPC22,414,92
Klebsiella_pneumoniae_UHKPC23,432,91
Klebsiella_pneumoniae_UHKPC24,406,92
Klebsiella_pneumoniae_UHKPC26,427,92
Klebsiella_pneumoniae_UHKPC27,415,93
Klebsiella_pneumoniae_UHKPC29,400,89
Klebsiella_pneumoniae_UHKPC32,406,93
Klebsiella_pneumoniae_UHKPC40,427,87
Klebsiella_pneumoniae_UHKPC45,417,90
Klebsiella_pneumoniae_UHKPC48,398,87
Klebsiella_pneumoniae_UHKPC57,429,91
Klebsiella_pneumoniae_UHKPC81,426,91
Klebsiella_pneumoniae_UHKPC_52,415,87
Klebsiella_pneumoniae_VAKPC252,401,87
Klebsiella_pneumoniae_VAKPC254,419,91
Klebsiella_pneumoniae_VAKPC269,428,89
Klebsiella_pneumoniae_VAKPC270,413,91
Klebsiella_pneumoniae_VAKPC276,421,91
Klebsiella_pneumoniae_VAKPC278,426,91
Klebsiella_pneumoniae_VAKPC280,412,89
Klebsiella_pneumoniae_VAKPC297,427,91
Klebsiella_pneumoniae_VAKPC309,412,93
Klebsiella_pneumoniae_hvKP1,426,97
Klebsiella_pneumoniae_pneumoniae_MGH78578,339,56
Klebsiella_pneumoniae_subsp_pneumoniae_1084,442,87
Klebsiella_pneumoniae_subsp_pneumoniae_12_3578,431,91
Klebsiella_pneumoniae_subsp_pneumoniae_DSM_30104,446,89
Klebsiella_pneumoniae_subsp_pneumoniae_Ecl8,427,97
Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,382,85
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH10,424,91
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH11,390,94
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH12,401,85
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH14,421,87
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH16,410,90
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH17,415,92
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH18,388,87
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH19,408,89
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH1,433,92
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH20,402,91
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH21,389,84
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH22,404,93
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH23,403,93
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH2,400,92
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH4,394,87
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH5,400,94
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH6,427,88
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH7,417,88
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH8,414,89
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH9,431,89
Klebsiella_pneumoniae_subsp_pneumoniae_KpQ3,418,90
Klebsiella_pneumoniae_subsp_pneumoniae_LZ,417,91
Klebsiella_pneumoniae_subsp_pneumoniae_ST258_490,416,89
Klebsiella_pneumoniae_subsp_pneumoniae_ST258_K26BO,412,89
Klebsiella_pneumoniae_subsp_pneumoniae_ST258_K28BO,405,84
Klebsiella_pneumoniae_subsp_pneumoniae_ST512_K30BO,414,87
Klebsiella_pneumoniae_subsp_pneumoniae_WGLW1,407,88
Klebsiella_pneumoniae_subsp_pneumoniae_WGLW2,411,92
Klebsiella_pneumoniae_subsp_pneumoniae_WGLW5,408,90
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_13884,432,48
Klebsiella_quasipneumoniae_700603,431,93
Klebsiella_sp_1_1_55,317,54
Klebsiella_sp_4_1_44FAA,421,118
Klebsiella_sp_M5al,361,106
Klebsiella_sp_MS_92_3,421,113
Klebsiella_sp_OBRC7,375,111
Klebsiella_variicola_KV321_ZB100000,384,103
Kluyvera_ascorbata_ATCC_33433,341,64
Kluyvera_cryocrescens_L2,352,95
Kluyvera_cryocrescens_NBRC_102467,347,100
Kluyvera_intermedia_FOSA7093,367,103
Kluyvera_intermedia_NBRC_102594_ATCC_33110,359,88
Kocuria_palustris_CD07_3,308,70
Kocuria_palustris_PEL,420,2
Kocuria_rhizophila_DC2201,393,55
Kocuria_rhizophila_P7_4,405,84
Kosakonia_sacchari_SP1,365,102
Kurthia_massiliensis_JC30,414,105
Kurthia_senegalensis_JC8E,347,88
Kytococcus_sedentarius_1083_KSED,397,75
Kytococcus_sedentarius_262_KSED,408,78
Kytococcus_sedentarius_DSM_20547,426,60
Lachnoanaerobaculum_orale_DSM_24553,362,75
Lachnoanaerobaculum_saburreum_DNF00896,394,88
Lachnoanaerobaculum_saburreum_DSM_3986,391,54
Lachnoanaerobaculum_saburreum_F0468,417,83
Lachnobacterium_bovis_AE2004,303,77
Lachnobacterium_bovis_C6A12,297,74
Lachnobacterium_bovis_DSM_14045,328,88
Lachnobacterium_bovis_NK4B19,311,80
Lachnobacterium_bovis_S1b,298,76
Lachnoclostridium_sp_YL32,389,99
Lachnospira_multipara_ATCC_19207,415,72
Lachnospira_multipara_D15d,329,85
Lachnospira_multipara_LB2003,328,86
Lachnospira_multipara_MC2003,318,83
Lachnospira_pectinoschiza_M83,310,89
Lachnospiraceae_bacterium_1_1_57FAA,394,89
Lachnospiraceae_bacterium_1_4_56FAA,441,126
Lachnospiraceae_bacterium_2_1_46FAA,393,94
Lachnospiraceae_bacterium_2_1_58FAA,336,75
Lachnospiraceae_bacterium_3_1_46FAA,367,90
Lachnospiraceae_bacterium_3_1_57FAA_CT1,405,104
Lachnospiraceae_bacterium_5_1_57FAA,394,110
Lachnospiraceae_bacterium_6_1_63FAA,356,91
Lachnospiraceae_bacterium_7_1_58FAA,439,118
Lachnospiraceae_bacterium_9_1_43BFAA,414,109
Lachnospiraceae_bacterium_oral_taxon_082_str_F0431,445,81
Lachnospiraceae_bacterium_sp_5_1_63FAA,429,90
Lachnospiraceae_bacterium_sp_8_1_57FAA,398,89
Lachnospiraceae_oral_taxon_107_str_F0167,406,82
Lactobacillus_acidipiscis_ACA_DC_1533,350,61
Lactobacillus_acidipiscis_DSM_15836,353,62
Lactobacillus_acidipiscis_KCTC_13900,382,64
Lactobacillus_acidophilus_ATCC_4796,402,68
Lactobacillus_acidophilus_La_14,393,56
Lactobacillus_acidophilus_NCFM,370,57
Lactobacillus_agilis_DSM_20509,346,66
Lactobacillus_agilis_UMNLA4,339,56
Lactobacillus_algidus_CMTALT10,329,70
Lactobacillus_algidus_DSM_15638,335,66
Lactobacillus_amylolyticus_DSM_11664,313,46
Lactobacillus_amylovorus_30SC,362,58
Lactobacillus_amylovorus_GRL1118,395,47
Lactobacillus_amylovorus_GRL_1112,356,50
Lactobacillus_animalis_KCTC_3501,401,80
Lactobacillus_animalis_NP51,321,65
Lactobacillus_antri_DSM_16041,492,85
Lactobacillus_apis_LMG_26964,354,47
Lactobacillus_apodemi_DSM_16634_JCM_16172,311,68
Lactobacillus_brevis_ATCC_367,440,87
Lactobacillus_brevis_DSM_20054,574,105
Lactobacillus_brevis_KB290,464,58
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305,432,86
Lactobacillus_buchneri_ATCC_11577,468,87
Lactobacillus_buchneri_CD034,534,87
Lactobacillus_buchneri_NRRL_B_30929,511,73
Lactobacillus_camelliae_DSM_22697_JCM_13995,343,66
Lactobacillus_casei_12A,469,81
Lactobacillus_casei_21_1,417,63
Lactobacillus_casei_A2_362,427,55
Lactobacillus_casei_ATCC_334,394,61
Lactobacillus_casei_W56,442,85
Lactobacillus_casei_casei_BL23,452,68
Lactobacillus_coleohominis_101_4_CHN,454,74
Lactobacillus_coryniformis_subsp_coryniformis_CECT_5711,389,87
Lactobacillus_coryniformis_subsp_coryniformis_KCTC_3167,393,69
Lactobacillus_crispatus_125_2_CHN,421,75
Lactobacillus_crispatus_214_1,264,61
Lactobacillus_crispatus_CTV_05,418,63
Lactobacillus_crispatus_FB049_03,405,63
Lactobacillus_crispatus_FB077_07,398,62
Lactobacillus_crispatus_JV_V01,413,57
Lactobacillus_crispatus_MV_1A_US,414,49
Lactobacillus_crispatus_MV_3A_US,418,62
Lactobacillus_crispatus_ST1,425,73
Lactobacillus_curvatus_CRL_705,480,88
Lactobacillus_curvatus_JCM_1096_DSM_20019,405,62
Lactobacillus_delbrueckii_ZN7a_9,324,50
Lactobacillus_delbrueckii_subsp_bulgaricus_2038,447,59
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842,291,43
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365,308,54
Lactobacillus_delbrueckii_subsp_bulgaricus_CNCM_I_1519,460,62
Lactobacillus_delbrueckii_subsp_bulgaricus_CNCM_I_1632,462,57
Lactobacillus_delbrueckii_subsp_bulgaricus_ND02,483,92
Lactobacillus_delbrueckii_subsp_delbrueckii_DSM_20074,331,65
Lactobacillus_delbrueckii_subsp_lactis_DSM_20072,403,103
Lactobacillus_dextrinicus_DSM_20335,291,38
Lactobacillus_equicursoris_66c,287,80
Lactobacillus_equicursoris_DSM_19284,326,84
Lactobacillus_farciminis_KCTC_3681_DSM_20184,427,72
Lactobacillus_fermentum_28_3_CHN,534,63
Lactobacillus_fermentum_ATCC_14931,438,73
Lactobacillus_fermentum_F_6,536,66
Lactobacillus_fermentum_IFO_3956,444,67
Lactobacillus_florum_2F,292,40
Lactobacillus_fructivorans_KCTC_3543_DSM_20203,337,40
Lactobacillus_frumenti_DSM_13145,384,85
Lactobacillus_gasseri_202_4,417,70
Lactobacillus_gasseri_224_1,363,35
Lactobacillus_gasseri_ATCC_33323,399,44
Lactobacillus_gasseri_CECT_5714,510,80
Lactobacillus_gasseri_JV_V03,499,71
Lactobacillus_gasseri_K7,479,46
Lactobacillus_gasseri_MV_22,355,37
Lactobacillus_gasseri_SJ_9E_US,513,71
Lactobacillus_gasseri_SV_16A_US,497,74
Lactobacillus_gastricus_PS3,505,100
Lactobacillus_helveticus_DPC_4571,343,36
Lactobacillus_helveticus_DSM_20075,337,40
Lactobacillus_helveticus_H10,430,61
Lactobacillus_helveticus_R0052,437,59
Lactobacillus_hilgardii_ATCC_8290,477,85
Lactobacillus_iners_7_1_47FAA,457,45
Lactobacillus_iners_AB_1,472,38
Lactobacillus_iners_ATCC_55195,465,37
Lactobacillus_iners_DSM_13335,416,41
Lactobacillus_iners_LEAF_2052A_d,469,41
Lactobacillus_iners_LEAF_2053A_b,411,38
Lactobacillus_iners_LEAF_2062A_h1,394,43
Lactobacillus_iners_LEAF_3008A_a,438,44
Lactobacillus_iners_LactinV_03V1_b,442,40
Lactobacillus_iners_LactinV_09V1_c,457,45
Lactobacillus_iners_LactinV_11V1_d,441,39
Lactobacillus_iners_SPIN_1401G,478,41
Lactobacillus_iners_SPIN_2503V10_D,403,40
Lactobacillus_iners_UPII_143_D,403,44
Lactobacillus_iners_UPII_60_B,444,38
Lactobacillus_ingluviei_str_Autruche_4,375,83
Lactobacillus_jensenii_1153,403,42
Lactobacillus_jensenii_115_3_CHN,412,43
Lactobacillus_jensenii_269_3,402,41
